customer_state,order_month,total_orders,avg_delivery_days,avg_freight_cost,avg_order_value,percent_late_deliveries
PA,2016-10-01,4,27.5,48.8725,271.9,0.0
SC,2017-04-01,100,16.49,21.251899999999992,111.98999999999987,0.09
AP,2017-08-01,3,22.0,31.663333333333338,96.59666666666668,0.0
SP,2017-12-01,2295,10.138126361655774,16.623429193899682,119.80467973856044,0.03137254901960784
RS,2017-03-01,144,14.375,23.724930555555563,135.60861111111112,0.013888888888888888
PE,2017-10-01,77,17.623376623376622,38.663116883116885,222.3401298701298,0.06493506493506493
MS,2017-07-01,24,13.541666666666666,22.41,149.28958333333335,0.0
BA,2017-08-01,152,15.217105263157896,27.789078947368413,165.35835526315807,0.03289473684210526
RS,2018-06-01,304,11.973684210526315,29.562006578947333,145.04549342105292,0.013157894736842105
MT,2017-07-01,37,15.45945945945946,28.1981081081081,277.2643243243243,0.0
RJ,2017-10-01,654,12.964831804281346,23.06685015290526,146.0125993883792,0.06880733944954129
RO,2018-02-01,13,21.23076923076923,40.81461538461538,121.49076923076925,0.0
PI,2018-08-01,20,11.9,47.081500000000005,146.1615,0.0
PA,2017-03-01,35,25.62857142857143,40.713428571428565,218.50771428571423,0.08571428571428572
SC,2017-01-01,26,17.0,20.540000000000003,193.13730769230773,0.038461538461538464
AP,2017-11-01,4,28.0,44.3225,127.97,0.0
PI,2018-01-01,47,19.27659574468085,39.427872340425544,143.06744680851057,0.10638297872340426
RR,2017-02-01,2,9.0,28.97,25.4,0.0
SP,2018-05-01,3138,7.953473550031868,17.168059273422582,135.3181516889747,0.043339706819630335
PR,2018-01-01,371,13.692722371967655,20.77226415094343,118.59460916442083,0.016172506738544475
MG,2017-07-01,435,11.098850574712644,22.353057471264414,123.58363218390848,0.009195402298850575
PI,2017-12-01,23,20.73913043478261,37.45913043478261,115.08347826086957,0.13043478260869565
AL,2017-11-01,26,23.076923076923077,57.89269230769233,228.31769230769228,0.19230769230769232
AM,2017-03-01,5,29.6,32.4,126.27799999999999,0.0
PA,2018-02-01,57,29.49122807017544,35.53456140350879,156.5212280701754,0.12280701754385964
PR,2017-07-01,195,10.717948717948717,23.19266666666666,124.77487179487194,0.005128205128205128
AM,2018-07-01,18,22.22222222222222,32.972222222222214,111.38388888888889,0.0
RN,2018-01-01,42,15.261904761904763,31.08809523809524,131.6154761904762,0.023809523809523808
CE,2017-12-01,79,23.0126582278481,29.629873417721537,130.372658227848,0.0759493670886076
AM,2017-04-01,13,20.76923076923077,26.142307692307693,64.33692307692307,0.0
GO,2017-12-01,125,18.392,21.692399999999985,125.39943999999986,0.072
SC,2017-09-01,153,14.287581699346406,23.56169934640522,166.96163398692826,0.0718954248366013
RN,2017-05-01,17,15.941176470588236,52.90058823529411,275.50352941176465,0.0
GO,2016-10-01,7,14.285714285714286,21.661428571428576,129.21285714285713,0.0
MS,2018-03-01,57,21.842105263157894,27.70017543859649,122.9821052631578,0.40350877192982454
RR,2018-05-01,1,18.0,81.79,89.9,0.0
MG,2018-03-01,856,16.70443925233645,24.911577102803744,134.179871495327,0.2044392523364486
SE,2017-05-01,11,19.90909090909091,34.403636363636366,61.91727272727272,0.0
AM,2017-08-01,5,23.4,41.362,255.32,0.0
SE,2017-04-01,13,29.46153846153846,57.3,199.62846153846155,0.3076923076923077
